athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date
1487,Rolando Arrojo,7/18/1965,San Juan de los Yeras,Villa Clara,CUB,Cuba,193,100,N/A
1489,Jos?? Contreras,12/6/1971,Las Martinas,Pinar del R??o,CUB,Cuba,191,107,N/A
1500,Pedro Luis Lazo,4/15/1973,Pinar del R??o,Pinar del R??o,CUB,Cuba,192,107,N/A
1511,Ormari Romero,2/22/1968,Santiago de Cuba,Santiago de Cuba,CUB,Cuba,196,86,N/A
1512,Antonio Scull,9/10/1965,San Miguel del Padr??n,Ciudad de La Habana,CUB,Cuba,195,96,N/A
1644,Nancio Carrillo,8/16/1950,Matanzas,Matanzas,CUB,Cuba,200,85,12/7/2018
1677,Freddy Rojas,8/27/1969,Camag?¨ey,Camag?¨ey,CUB,Cuba,192,81,N/A
1680,Alexis Rubalcaba,8/9/1972,Pedro Betancourt,Matanzas,CUB,Cuba,204,95,N/A
1681,F??lix Sav??n,9/22/1967,San Vicente,Guant?≠namo,CUB,Cuba,198,91,N/A
3260,Tom?≠s Herrera,12/21/1950,Santiago de Cuba,Santiago de Cuba,CUB,Cuba,198,95,10/18/2020
3261,Ruperto Herrera,12/6/1949,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,198,95,N/A
5117,Judith ?Åguila,10/6/1972,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,192,80,N/A
5358,Yamilet Mart??nez,11/11/1970,Cueto,Holgu??n,CUB,Cuba,196,88,N/A
5535,Lisdeivis V??ctores,7/2/1974,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,193,80,N/A
5856,Pedro Chapp??,8/16/1945,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,195,97,5/15/2003
5985,Carlos del Pozo,4/6/1943,Santiago de Cuba,Santiago de Cuba,CUB,Cuba,198,87,4/28/2018
6685,Miguel Montalvo,7/27/1943,Camag?¨ey,Camag?¨ey,CUB,Cuba,198,84,N/A
6697,Jorge Mor?? Rojas,5/9/1958,Cifuentes,Villa Clara,CUB,Cuba,196,79,N/A
7074,Daniel Scott,1/11/1953,Santa Cruz del Sur,Camag?¨ey,CUB,Cuba,192,76,N/A
7168,Franklin Standard,6/8/1949,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,197,90,10/7/2021
7265,Alejandro Urgell??s,7/2/1951,Santiago de Cuba,Santiago de Cuba,CUB,Cuba,194,97,10/16/1984
24583,Antonio Garc??s,9/2/1950,Vertientes,Camag?¨ey,CUB,Cuba,198,66,N/A
31976,Jes?ßs Agramonte,4/26/1959,Cruces,Cienfuegos,CUB,Cuba,191,80,N/A
31978,Roberto Casuso,10/24/1954,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,193,88,11/29/2011
31984,Jos?? Nen??nger,7/26/1958,Limonar,Matanzas,CUB,Cuba,194,89,N/A
36384,Luis Alonso,8/19/1951,Artemisa,Artemisa,CUB,Cuba,193,85,N/A
41703,Nelson O?Òate,3/7/1943,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,198,75,9/11/2022
52200,Regla Torres,2/12/1975,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,191,78,N/A
52204,?Ångel Beltr?≠n,4/26/1973,Santiago de Cuba,Santiago de Cuba,CUB,Cuba,196,90,N/A
52209,Jo?Æl Despaigne,7/2/1966,Santiago de Cuba,Santiago de Cuba,CUB,Cuba,194,97,N/A
52210,Ra?ßl Diago,8/1/1967,Matanzas,Matanzas,CUB,Cuba,193,90,N/A
52216,Osvaldo Hern?≠ndez,7/11/1970,Camag?¨ey,Camag?¨ey,CUB,Cuba,202,91,N/A
52217,Ihosvany Hern?≠ndez,8/6/1972,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,206,90,N/A
52221,L?≠zaro Mar??n,3/30/1967,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,198,91,N/A
52229,Ala??n Roca,9/7/1976,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,198,98,N/A
52234,Rodolfo S?≠nchez,5/27/1969,Pinar del R??o,Pinar del R??o,CUB,Cuba,197,90,N/A
52240,Ricardo Vantes,4/21/1967,Camag?¨ey,Camag?¨ey,CUB,Cuba,191,87,N/A
52241,Ra?ßl Vilches,10/2/1954,Cifuentes,Villa Clara,CUB,Cuba,193,85,1/13/2022
53692,Iv?≠n P??rez,6/29/1971,La Habana (Havana),Ciudad de La Habana,CUB,Cuba Spain,197,109,N/A
66761,Eugenio Balanqu??,12/20/1968,Palmarito de Cauto,Santiago de Cuba,CUB,Cuba,193,91,N/A
66768,Juan Francisco Centelles,1/26/1961,Playa,Ciudad de La Habana,CUB,Cuba,196,81,N/A
66774,Marino Drake,6/18/1967,Limonar,Matanzas,CUB,Cuba,193,73,N/A
66776,Alexis Elizalde,9/19/1967,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,192,118,N/A
66791,Alejandro Herrera,4/21/1958,Wajay,Ciudad de La Habana,CUB,Cuba,197,93,N/A
66809,Modesto Mederos,3/30/1942,Santa F??,Ciudad de La Habana,CUB,Cuba,194,102,N/A
